Name,"Level ",Type,Type of skill
HTML/CSS,Beginner,Software,
Time Management,,Expertise,Soft skill
Flexibility and adaptability,,Expertise,Soft skill
"Communication ",,Expertise,Soft skill
Receptiveness to Feedback,,Expertise,Soft skill
Event Planning,,Expertise,Hard skill
Attention to detail,,Expertise,Soft skill
Teamwork,,Expertise,Soft skill
Administrative support,,Expertise,Hard skill
Motivation,,Expertise,Soft skill
Mandarin,Intermediate,Language,
English,Advance,Language,
Social Media Graphics,,Expertise,Hard skill
German,Intermediate,Language,
Leadership,,Expertise,Soft skill
